Country/Region,Deaths,Recovered
Afghanistan,1269,25198
Albania,144,2745
Algeria,1163,18837
Andorra,52,803
Angola,41,242
Antigua and Barbuda,3,65
Argentina,3059,72575
Armenia,711,26665
Australia,167,9311
Austria,713,18246
Azerbaijan,423,23242
Bahamas,11,91
Bahrain,141,36110
Bangladesh,2965,125683
Barbados,7,94
Belarus,538,60492
Belgium,9822,17452
Belize,2,26
Benin,35,1036
Bhutan,0,86
Bolivia,2647,21478
Bosnia and Herzegovina,294,4930
Botswana,2,63
Brazil,87618,1846641
Brunei,3,138
Bulgaria,347,5585
Burkina Faso,53,926
Burma,6,292
Burundi,1,301
Cabo Verde,22,1550
Cambodia,0,147
Cameroon,391,14539
Canada,8944,0
Central African Republic,59,1546
Chad,75,810
Chile,9187,319954
China,4656,78869
Colombia,8777,131161
Comoros,7,328
Congo (Brazzaville),54,829
Congo (Kinshasa),208,5700
Costa Rica,115,3824
Cote d'Ivoire,96,10361
Croatia,139,3936
Cuba,87,2351
Cyprus,19,852
Czechia,373,11428
Denmark,613,12605
Djibouti,58,4977
Dominica,0,18
Dominican Republic,1083,30204
Ecuador,5532,34896
Egypt,4652,34838
El Salvador,408,7778
Equatorial Guinea,51,842
Eritrea,0,191
Estonia,69,1923
Eswatini,34,1025
Ethiopia,228,6386
Fiji,0,18
Finland,329,6920
France,30212,81212
Gabon,49,4682
Gambia,8,66
Georgia,16,922
Germany,9125,190314
Ghana,168,29801
Greece,202,1374
Greenland,0,13
Grenada,0,23
Guatemala,1761,32455
Guinea,45,6257
Guinea-Bissau,26,803
Guyana,20,181
Haiti,158,4365
Holy See,0,12
Honduras,1166,5039
Hungary,596,3329
Iceland,10,1823
India,33408,951166
Indonesia,4838,58173
Iran,15912,255144
Iraq,4458,77144
Ireland,1764,23364
Israel,474,27133
Italy,35112,198593
Jamaica,10,714
Japan,998,21970